Deutsch;Portugiesisch
Freund;amigo
Freundeskreis;círculo de amigos
Frühjahrestagung;convenção da primavera
Gedankenkräfte;força de pensamentos
Gedicht;poema
Gemeinschaft;comunidade
Gemeinschaftsleiter;coordenador de comunidade
Gemeinschaftsleiterin;coordenadora de comunidade
Gemeinschaftsstunde;hora comunitária
göttliche Kraft;força divina
göttliche Ordnung;ordem divina
göttlicher Weg;caminho divino
Grete Häusler Verlag;editora Grete Häusler
Grundschule Klasse 1 - 4;1º - 4º ano da escola primária
Gymnasium Klasse 5-13;escola de ensino médio  5-13ª classe
Hauptkassenwart;tesoureiro chefe
Heilen;curar
Heiler;curador
Heilkraft;força curativa
Heilpraktiker;naturopata
Heilstrom;Heilstrom
Heilung (auf geistigem Wege);cura pelo caminho espiritual
Heilwelle;onda curadora
Heimgehen;voltar à casa do Pai celestial
Hilfe im erzieherischen Bereich;ajuda na área aducacional
Hilfe im finanziellen Bereich;ajuda na área financeira
Hilfe mit Foto BG;ajuda com foto BG
Hilfesuchender;pessoa à procura de ajuda
Hilfsbedürftigen;os mais necessitados
himmlischer Vater ;Pai divino 
IGR;IGR
Infocenter;Infocenter
Informations- Vortrag;palestra informativa
Infovortrag;palestra informativa
Instagram;Instagram
Internationale Mai Schulungswoche;semana Internacional de aprendizagem de maio
INTERNET;INTERNET
Internetgesprächsrunde (IGR);teleconferência  (IGR)
Inventar;inventário
IT-Fachgruppe;grupo de TI
Jugend Schulungsbrief;caderno de aprendizagem para jovens
Jugendbergsteigerwoche;semana do alpinismo juvenil
Jugend-Flyer;panfleto da juventude
Jugendgemeinschaft;comunidade de jovens
Kanon;canon
Kasse               ;tesouraria                                                                                              
Kassenprüfer                               ;auditor de caixa     
Kassenwart;tesoureiro
Kinder Schulungsbrief;caderno de aprendizagem para crianças
Kindergarten;jardim-de-infância
Kindergemeinschaft;comunidade de crianças
Körperliche Heilungen;curas físicas
Kreis für geistige/natürliche Lebenshilfe e.V.;Círculo para ajuda natural à vida do Brasil
Kreis für naturlische Lebenshilfe;Círculo para ajuda natural à vida
Landesgruppe;grupo nacional
Landesleiter;coordenador geral do país
Lehre;ensinamentos
Lichterkette;cadeia de luzes
Liebe Freunde;queridos amigos
Mediathek;midiateca – biblioteca de mídia
Mittelschule Klasse 5-10;escola secundária 5-10ª classe
MWF ;Grupo Especialista Médico-Científico MWF
Nachdruck;reimpressão
Nachuntersuchung;consulta após a cura
Namen der Zeitschriften in Deutsch übernehmen;assumir os nomes dos periódicos em alemão
Nichtdeutschsprachige Länder;países onde não se fala o alemão
Öffentlichkeitsarbeit;trabalho de publicidade
Öffentlichkeitsarbeit /ÖA;relações públicas /ÖA
Ordner;pasta
Pause;intervalo
Plakat;cartaz
Prof. als Ehrentitel;Prof. honoris causa
Qualitätssicherung;garantia de qualidade
Quartal;trimestre
Quittung;recibo
Realschule Klasse 5-10;escola secundária 5-10ª classe
Rechtsgruppe;grupo jurídico
Regelung/ Regelungen;Regelung/ Regelungen não regulação/ regulações
Regelungsschmerzen;dores das Regelungen
Regionaler Leiter;coordenador regional
Regionaltagung;convenção regional
Rundschau weltweit;panorama mundial
Satz (Layout);diagramação (layout)
Schlusslicht bei der Wandergruppe;definir a retaguarda com o grupo de caminhadas
Schuhkontrolle;verificação de sapatos
Schulungsbrief;caderno de aprendizagem
Schulungs-CD;CD de aprendizagem
Schulungsmaterial;material de aprendizagem
Seelische Heilungen;cura espiritual
sich einstellen;fazer o Einstellen
Singmappe;pasta de canto
Sommerwochen;semanas de verão
Spende;doação
Spendenaufruf;pedido de doação
Spendenbüchertisch;mesa de livros por doação
Stanniolkugel;bola de papel alumínio
Strophe;verso, esstrofes
Stunde;hora
südslawische Länder;países sul-eslavos
Support-Gruppe;grupo de apoio
Tagung;convenção
Technik;técnica
Technomusik;música eletrônica
Teil 1, 2, 3;parte 1, 2, 3
Teilerfolgsbericht;relato de êxito parcial
Telegram-Kanal;canal telegrama
Tour;passeio, tour
Umkehr;conversão
Unterordner;subpasta
verlangen;exigir
vermitteln;intermediar
Vortrag;palestra
Vortrag (von Bruno Gröning);palestra (de Bruno Gröning)
Vorträge (von Ärzten);palestras (por médicos)
Wandertour;caminhadas
Wanderwoche;semana das caminhadas
Weg;caminho
Weg zum Heil;caminho para a cura
Welt Region;região mundial
Weltgebietsleiter;coordenador geral de região mundial
Wie kam ich zur Lehre?;como cheguei aos ensinamentos?
You Tube;You Tube
YouTube-Kanal;Canal YouTube
YouTube-Video;Vídeo do YouTube
Zeitschrift;revista
Zeitzeuge;testemunha da época
Zeitzeugenbericht;relato de testemunha da época
Zwischenstunde;hora comunitária intermediária
;
